"Triadic patent families"
"2015"
"Category","Patents"
"Japan",17796.7087
"United States",13731.4037
"Germany",4761.169
"China",3261.4107
"France",2308.5448
"Korea",2261.4324
"United Kingdom",1688.8487
"Switzerland",1225.0392
"Netherlands",1137.2247
"Italy",828.0765
"Sweden",731.8335
"Canada",589.0825
"Israel",516.4204
"Chinese Taipei",444.8497
"Belgium",424.8957
"Austria",403.8104
"Australia",349.1034
"Denmark",326.1672
"Spain",292.9081
"Finland",268.6348
"Singapore",121.0699
"Norway",100.8833
"Ireland",100.4277
"Russia",90.4183
"Poland",81.2435
"New Zealand",70.2709
"Czechia",52.5649
"Türkiye",49.4667
"Hungary",35.9182
"Portugal",33.4282
"Mexico",29.9081
"South Africa",24.75
"Luxembourg",22.8311
"Romania",14.0274
"Chile",12.8476
"Argentina",12.2333
"Greece",10.3786
"Bulgaria",9.1091
"Slovak Rep.",9
"Slovenia",6.55
"Colombia",5.2
"Estonia",4.8667
"Iceland",4.4583
"Latvia",3.9333
"Lithuania",3.5714
"Croatia",2.9167
"Costa Rica",0.2
